329,boulevard du marechal leclerc,sans
329,rue duffour dubergier,sans
327,rue robert caumont,sans
326,cours georges clémenceau,sans
325,rue de la miséricorde -7/8 place francis de préssencé,sans
325,rue aristide sousa mendes,sans
324,rue paul courteault,sans
324,place adolphe buscaillet,sans
323,rue c domercq et 65 67 rue e leroy,sans
322,quai hubert prom,sans
321,rue du tauzin - rue de bethmann,sans
321,cours xavier arnozan,sans
320,boulevard george v,sans
319,rue du hamel,sans
318,place fernand lafargue,sans
317,rue du docteur albert schweitzer,sans
317,rue  margaux,sans
316,place d'armagnac,sans
314,rue des douves /place andre meunier,sans
314,a 18 quai des chartrons,sans
313,rue robert schuman et 47 rue pierre trébod,sans
312,rue de nuits,sans
312,"rue des ayres, 3 rue paul bert",sans
312,rue de tregey,sans
312,quartier sainte croix,sans
312,rue bouffard,sans
311,cours du marechal gallieni,sans
311,rue  achard,sans
310,18bis cours journu auber,sans
309,rue marsan,sans
306,quai de gironde/rue des etrangers,sans
302,rue baudry lacantinerie,sans
302,rue de la béchade,sans
300,rue de la benatte,sans
300,rue soubiras,sans
300,place du xi novembre-rue o'reilly,sans
300,rue ulysse despaux,sans
299,hangar 15 quai de bacalan,sans
299,rue eugene delacroix,sans
299,rues stehelin et domion,sans
299,rue maubec,sans
299,rue andré darbon,sans
297,rue josephine,sans
296,"75 et 66,68 rue de lachassaigne",sans
296,"8, 10 rue jean artus",sans
296,rue de candale,sans
293,rue leonard lenoir,sans
293,rue léon pallière/209-211bld jean jacques bosc,sans
292,rue maucoudinat,sans
290,rues jean artus et du dr albert schweitzer,sans
290,rue jouannet,sans
290,rue du jardin public - b.p. 6,sans
290,"pl puy paulin,e rue guillaume brochon",sans
289,boulevard godard et rue dr finlay,avec
288,rue d'ornano,sans
286,rue de la gare d'orléans - 29 avenue abadie,avec
286,rue deyries,sans
286,rue lamothe,sans
285,rue chauffour,sans
283,avenue alienor d'aquitaine,sans
283,rue francin,sans
282,rue furtado,sans
282,dalle du pertuis -bassin à flot n°1,sans
282,rue de bethmann,sans
281,rue du professeur darget - zac aliénor d'aquitaine,sans
280,rue delord/josephine,sans
280,rue de la halle,sans
280,hangar 16,sans
280,rue du parlement saint pierre,sans
280,cours victior hugo,sans
280,rue de saintonge,sans
280,impasse birouette,sans
279,et 45 rue de dijon,sans
278,rue alphonse dupeux,sans
277,rasse du front du medoc,sans
276,ilot b1.3 de ginko,sans
276,rue lhérisson,sans
274,rue de turenne,sans
272,place du general sarrail,sans
271,allée corail - zac saint jean belcier,sans
270,rue kleber,sans
270,hangar g2 - bassin à flot n°1,sans
268,rue roger caumont,sans
268,cours charles bricaud,sans
267,place du palais,sans
266,rue lucien faure - hangar g4 - lots a1 et a3,sans
265,place jean jaures,sans
265,rue louis combes,sans
264,rue marcel achard,sans
264,rue emile peynaud,sans
264,ilot b05 quai de queyries,sans
261,rue paul antin,sans
260,rues mac carthy et guynemer,sans
260,gymnase thiers,sans
260,rue de tivoli,sans
260,rue sicard,sans
259,av alienor d'aquitaine,sans
256,place louis barthou,sans
255,rue delacroix,sans
