avec_hebergement;nom_etablissement;propriete_ville;categorie;type;adresse_1;adresse_2;code_postal;commune;canton;effectif_personnel;nb_visiteurs_max;geometrie
0;AGENCE COMMERCIALE DE PRET A PORTER;0;5.0;M;104 COURS SAINT LOUIS;;33000;BORDEAUX;03 Chartrons Grand parc;2;19;44.837485,-0.574065
0;15EME JOURNEE ECHO DOPPLER CARDIO VASCULAIRE DU 24 AU 26 SEPTEMBRE 2014;0;1.0;L;rue Jean Gabriel Domergue;;33300;BORDEAUX;;37;6141;44.872645,-0.571176
0;AGENCE CONSEIL BTP PREVOYANCE;0;5.0;W;4 quai de Queyries;section BC parcelle 58;33100;BORDEAUX;;3;8;44.840795,-0.561254
0;15ÈMES JOURNÉES INTERACTIVES DE RÉALITÉS THÉRAPEUTIQUES EN DERMATOLOGIE;0;1.0;L;Rue Jean Gabriel Domergue;;33300;BORDEAUX;;37;6141;44.872645,-0.571176
0;AGENCE CONSEIL PRO BTP RAVEZIES;0;5.0;W;12 place Ravezies;section RA parcelle 41;33055;BORDEAUX;03 Chartrons Grand parc;3;12;
0;17ÈMES JOURNEES IMAGERIE BIOMEDICALE CONGRES AFIB DU 19 AU 21 SEPTEMBRE 2012;0;1.0;T;quai des Chartrons;;33000;BORDEAUX;;0;500;44.852746,-0.566354
0;AGENCE COYOTE BORDEAUX;0;5.0;M;68 COURS GEORGES CLEMENCEAU;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;1;18;44.844243,-0.578266
0;18ÈMES JOURNÉES NATIONALES DE LA SMR;0;1.0;O;18/20 PARVIS DES CHARTRONS;;33000;BORDEAUX;;233;2500;44.850031,-0.570868
0;AGENCE CREDIT MUTUEL;0;5.0;W;49 cours d'Albret;;33000;BORDEAUX;;0;0;44.836652,-0.581094
0;19ÈME CONGRES DE LA SOCIETE FRANCOPHONE DE TRANSPLANTATION;0;1.0;O;18 ET 20 PARVIS DES CHARTRONS;;33000;BORDEAUX;;29;2471;44.849752,-0.570368
0;AGENCE D'ARCHITECTES;0;5.0;W;25 rue Lacroix/78 rue Goya;;33000;BORDEAUX;06 St Seurin Fondaudège;5;7;44.846783,-0.58589
0;21ÈME GALA DE MÉDECINE;0;1.0;N;allée Louis Ratabou;;33028;BORDEAUX;;0;1880;
0;AGENCE D'ASSURANCE;0;5.0;W;52, cours de Verdun;;33000;BORDEAUX;;3;3;44.848076,-0.575888
0;24EMES RENCONTRES NATIONALES DU TRANSPORT PUBLIC 27 AU 29 NOVEMBRE 2013;0;1.0;T;rue Jean SAMAZEUILH;BP 55;33030;BORDEAUX;;0;0;
0;AGENCE DE COURTAGE;0;;;6-8 rue VAUBAN;;33000;BORDEAUX;;0;0;44.847633,-0.573956
0;28EME CONGRES DE LA SOCIETE FRANCAISE DE NEUROPEDIATRIE;0;;;Palais des Congrès;;33000;BORDEAUX;;0;0;44.838414,-0.569327
0;AGENCE DE LA  POSTE FONDAUDEGE AGENCE PROVISOIRE.;0;5.0;W;9, 11, 13 RUE DU TEMPS PASSE;;33000;BORDEAUX;06 St Seurin Fondaudège;6;8;44.850926,-0.586395
0;28EME CONGRES DE LA SOCIETE FRANÇAISE DE TRANSFUSION SANGUINE;0;;;Palais des Congrès;;33000;BORDEAUX;;0;0;44.838414,-0.569327
0;AGENCE DE LA FRANCOPHONIE;0;5.0;S;15, 16 QUAI LOUIS XVIII;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;80;80;44.847953,-0.571068
0;3 COMMERCES;0;5.0;M;32 RUE JEAN CROIX TREYERAN;;33200;BORDEAUX;07 08 Caudéran;0;10;44.852864,-0.609398
0;AGENCE DE LA MACSF ASSURANCES;0;5.0;W;5 rue de la Pelouse de Douet;;33000;BORDEAUX;09 St Augustin Quintin Loucheur Tondu;11;10;44.83038,-0.603941
0;3 EME KINO KABARET INTERNATIONAL DE BORDEAUX 3 OCTOBRE 2014;0;2.0;L;87 quai des Queyries;;33100;BORDEAUX;;0;0;44.849663,-0.561249
0;AGENCE DE LA MGP;0;5.0;W;325 AVENUE THIERS;;33100;BORDEAUX;04 la Bastide;20;19;44.85099,-0.541955
0;33ÈME CONGRES CER;0;1.0;L;rue Jean Gabriel Domergue;;33300;BORDEAUX;;37;6141;44.872645,-0.571176
0;AGENCE DE LA POSTE;0;5.0;W;2 à 6 RUE DE SAINTONGE;;33000;BORDEAUX;10 St Bruno St Victor Mériadeck;0;0;44.832131,-0.580395
N;33ÈME CONGRES DE LA SOCIETE FRANCAISE D'ENDOCRINOLOGIE;N;1.0;L;Rue Jean Gabriel Domergue;;33300;BORDEAUX;;37;6141;44.872645,-0.571176
0;AGENCE DE LA POSTE;0;5.0;W;RUE JUDAIQUE;;33000;BORDEAUX;06 St Seurin Fondaudège;0;0;44.840913,-0.59019
0;42EME CHALLENGE INTERNATIONAL DU VIN;0;;;Palais des Cogrès;;33000;BORDEAUX;;0;0;44.838577,-0.568834
0;AGENCE DE LA POSTE;0;5.0;W;RUE SAINT REMI ET DES PILIERS DE TUTELLE;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;0;0;44.841095,-0.573589
0;44EMES OLYMPIADES DES METIERS;0;1.0;T;rue Jean SAMAZEUILH;BP 55;33030;BORDEAUX;;0;0;
0;AGENCE DE LA POSTE BORDEAUX ST JEAN;0;5.0;W;205 COURS DE LA MARNE;;33000;BORDEAUX;13 St Jean Belcier Carle Vernet Albert 1er Sacré C;8;18;44.853685,-0.571033
0;46ÈMES SELECTIONS REGIONALES DES OLYMPIADES DES METIERS;0;1.0;T;rue Jean Samazeuihl;BP 55;33030;BORDEAUX;;0;-15136;
0;AGENCE DE LA POSTE GAMBETTA;0;5.0;W;43 PLACE GAMBETTA;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;0;19;44.841731,-0.580547
0;4EME ASSISES PROFESSIONNELLES DE LA PISCINE;0;;T;avenue J.G Domergue;;33000;BORDEAUX;;0;600;
0;AGENCE DE VOYAGES THOMASCOOK;0;5.0;W;44 allées de Tourny;;33000;BORDEAUX;;5;8;44.844259,-0.576987
0;4EMES RENCONTRES NATIONALES DES CHEFS DE SERVICE;0;1.0;O;18/20 Parvis des Chartrons;;33000;BORDEAUX;;233;2500;44.850031,-0.570868
0;AGENCE DES DOCKS;0;5.0;W;4 rue de la cour des Aides;;33000;BORDEAUX;;0;0;44.839893,-0.56935
0;"6EME SALON ""1000 EMPLOIS BORDEAUX"" LE 23/10/2013";0;1.0;T;Quai des Chartrons;;33000;BORDEAUX;;10;1500;44.852746,-0.566354
0;AGENCE DU CREDIT LYONNAIS;0;5.0;W;69, BOULEVARD GEORGE V;;33000;BORDEAUX;09 St Augustin Quintin Loucheur Tondu;6;15;44.825361,-0.589485
0;74 CENTRE DE SANTE;0;5.0;W;Bâtiment B2;;33300;BORDEAUX;;0;0;44.854566,-0.570888
0;AGENCE ECHOS JUDICIAIRES;0;5.0;W;108-110 rue FONDAUDEGE;;33000;BORDEAUX;;7;4;44.848674,-0.583051
0;7EME CONGRES MONDIALE DES INFIRMIERES ET INFIRMIERS FRANCOPHONES;0;;;Palais des congrès;;33000;BORDEAUX;;0;0;44.838414,-0.569327
0;AGENCE GMF;0;5.0;W;41 COURS D ALBRET;;33000;BORDEAUX;;7;19;44.83705,-0.581224
0;83ÈME CONGRÈS NATIONAL DES ENTREPRENEURS DES TERRITOIRES;0;1.0;L;Rue Jean Gabriel Domergue;;33300;BORDEAUX;;37;6141;44.872645,-0.571176
0;AGENCE IMMOBILIERE;0;;;27 cours de l'Intendance;;33000;BORDEAUX;;0;0;44.842021,-0.576784
0;87EME EXPOSITION CANINE INTERNATIONALE;0;1.0;T;rue Jean Samazeuilh;;33000;BORDEAUX;;5000;0;44.843016,-0.590765
